	label	area	largest_area	number_of_components	height	width
140	Cleavers	10975.0	10975.0	2	200	200
141	Cleavers	6325.0	4782.5	2	200	200
142	Cleavers	11950.0	11950.0	1	200	200
143	Cleavers	7176.0	3077.5	4	200	200
144	Cleavers	11600.5	11600.5	1	200	200
145	Cleavers	13206.5	13206.5	1	200	200
146	Cleavers	9355.5	9355.5	1	200	200
147	Cleavers	11192.0	5414.5	4	200	200
148	Cleavers	5888.5	2997.5	3	200	200
149	Cleavers	7219.0	3833.5	3	200	200
150	Cleavers	6702.5	2776.5	6	200	200
151	Cleavers	7280.5	5613.0	3	200	200
152	Cleavers	9201.5	5962.0	3	200	200
153	Cleavers	8662.5	8662.5	1	200	200
154	Cleavers	13828.5	7136.5	2	200	200
155	Cleavers	13401.0	13401.0	1	200	200
156	Cleavers	6157.5	3201.0	4	200	200
157	Cleavers	11331.0	11331.0	1	200	200
158	Cleavers	8684.0	8684.0	2	200	200
159	Cleavers	11166.5	11166.5	1	200	200
160	Cleavers	12625.0	12625.0	1	200	200
161	Cleavers	10900.5	10900.5	2	200	200
162	Cleavers	9641.0	5077.0	3	200	200
163	Cleavers	12309.5	12309.5	1	200	200
164	Cleavers	5903.5	3061.5	3	200	200
165	Cleavers	13971.5	13971.5	1	200	200
166	Cleavers	12091.5	9210.0	4	200	200
167	Cleavers	10473.0	5249.0	2	200	200
168	Cleavers	7667.0	5001.5	4	200	200
169	Cleavers	9794.5	6020.0	5	200	200
170	Cleavers	13598.0	13598.0	2	200	200
171	Cleavers	4375.5	4375.5	4	200	200
172	Cleavers	7389.5	3402.0	3	200	200
173	Cleavers	7157.0	7157.0	2	200	200
174	Cleavers	8737.0	5652.5	4	200	200
175	Cleavers	10745.0	10745.0	1	200	200
176	Cleavers	5466.5	3152.5	2	200	200
177	Cleavers	10199.5	5232.0	3	200	200
178	Cleavers	7078.5	3616.5	3	200	200
179	Cleavers	10924.0	10924.0	1	200	200
180	Cleavers	15101.0	15101.0	1	200	200
181	Cleavers	9427.5	4791.0	4	200	200
182	Cleavers	11552.0	11552.0	1	200	200
183	Cleavers	11092.5	5801.5	3	200	200
184	Cleavers	14339.5	14339.5	1	200	200
185	Cleavers	8970.0	5573.5	2	200	200
186	Cleavers	3340.0	2013.5	9	200	200
187	Cleavers	9935.0	6494.0	3	200	200
188	Cleavers	10364.5	10364.5	1	200	200
189	Cleavers	13683.5	13683.5	3	200	200
190	Cleavers	6404.5	3398.5	6	200	200
191	Cleavers	6735.5	4268.5	3	200	200
192	Cleavers	12740.5	12740.5	2	200	200
193	Cleavers	10710.0	4693.5	3	200	200
194	Cleavers	7594.0	4540.0	4	200	200
195	Cleavers	10804.5	5439.0	3	200	200
196	Cleavers	11768.0	11768.0	1	200	200
197	Cleavers	3677.0	1606.5	4	200	200
198	Cleavers	9411.5	9411.5	2	200	200
199	Cleavers	9784.5	5160.5	3	200	200
200	Cleavers	7066.0	4805.5	2	200	200
201	Cleavers	12112.0	10113.0	5	200	200
202	Cleavers	6969.5	6969.5	1	200	200
203	Cleavers	12129.0	7636.0	3	200	200
204	Cleavers	8711.5	4523.0	3	200	200
205	Cleavers	10338.0	10338.0	1	200	200
206	Cleavers	6557.0	2831.5	3	200	200
207	Cleavers	7159.0	3869.0	3	200	200
208	Cleavers	6589.5	2743.0	3	200	200
209	Cleavers	9788.0	9788.0	1	200	200
210	Cleavers	8284.0	4080.5	3	200	200
211	Cleavers	8906.5	5471.0	2	200	200
212	Cleavers	11767.5	11767.5	1	200	200
213	Cleavers	13372.0	13372.0	1	200	200
214	Cleavers	10478.0	10478.0	1	200	200
215	Cleavers	11783.0	11783.0	1	200	200
216	Cleavers	9457.5	6067.5	2	200	200
217	Cleavers	9978.5	5567.0	3	200	200
218	Cleavers	17330.5	13811.0	2	200	200
219	Cleavers	11206.5	6193.5	7	200	200
220	Cleavers	9775.0	6113.0	3	200	200
221	Cleavers	10301.0	10301.0	1	200	200
222	Cleavers	8068.0	4769.5	3	200	200
223	Cleavers	12115.5	12115.5	1	200	200
224	Cleavers	9763.5	5292.0	2	200	200
225	Cleavers	6539.5	4253.5	3	200	200
226	Cleavers	7087.5	7087.5	2	200	200
227	Cleavers	11230.0	11230.0	1	200	200
228	Cleavers	8313.0	5669.5	3	200	200
229	Cleavers	10988.5	4083.5	7	200	200
230	Cleavers	9300.5	4964.0	3	200	200
231	Cleavers	12484.0	12484.0	1	200	200
232	Cleavers	4855.0	3061.0	4	200	200
233	Cleavers	10446.5	8100.0	3	200	200
234	Cleavers	7471.5	3473.0	4	200	200
235	Cleavers	7133.0	4127.5	2	200	200
236	Cleavers	12793.5	12793.5	1	200	200
237	Cleavers	9700.0	8464.5	2	200	200
238	Cleavers	14259.0	14259.0	1	200	200
239	Cleavers	10354.5	10354.5	1	200	200
240	Cleavers	12635.0	12635.0	1	200	200
241	Cleavers	8428.0	8428.0	3	200	200
242	Cleavers	10139.0	5194.5	3	200	200
243	Cleavers	8307.0	4865.0	2	200	200
244	Cleavers	14489.0	14489.0	2	200	200
245	Cleavers	8957.5	3809.5	3	200	200
246	Cleavers	13544.0	13544.0	1	200	200
247	Cleavers	10412.0	10412.0	1	200	200
248	Cleavers	13503.0	13503.0	1	200	200
249	Cleavers	9024.5	9024.5	1	200	200
250	Cleavers	11821.5	11821.5	1	200	200
251	Cleavers	10400.0	10400.0	1	200	200
252	Cleavers	17302.5	17302.5	1	200	200
253	Cleavers	10951.0	10951.0	1	200	200
254	Cleavers	11353.0	11353.0	1	200	200
255	Cleavers	11112.0	11112.0	1	200	200
256	Cleavers	10555.5	5651.0	5	200	200
257	Cleavers	8605.0	4729.5	2	200	200
258	Cleavers	8877.0	3299.0	4	200	200
259	Cleavers	6545.0	4095.5	2	200	200
260	Cleavers	10567.5	10567.5	1	200	200
261	Cleavers	9673.0	9673.0	1	200	200
262	Cleavers	11586.5	11586.5	1	200	200
263	Cleavers	6981.0	3495.0	4	200	200
264	Cleavers	7086.0	3426.5	5	200	200
265	Cleavers	9189.5	6565.0	2	200	200
266	Cleavers	11603.0	11603.0	1	200	200
267	Cleavers	11171.5	11171.5	2	200	200
268	Cleavers	12906.5	12906.5	1	200	200
269	Cleavers	10640.0	7068.0	2	200	200
270	Cleavers	8593.5	4473.0	4	200	200
271	Cleavers	7553.5	7553.5	1	200	200
272	Cleavers	12792.0	12792.0	1	200	200
273	Cleavers	19643.0	19643.0	1	200	200
274	Cleavers	6561.0	2504.5	4	200	200
275	Cleavers	8461.0	3701.0	6	200	200
276	Cleavers	9219.5	8767.5	2	200	200
277	Cleavers	10519.0	5811.0	4	200	200
278	Cleavers	7655.5	4073.5	3	200	200
279	Cleavers	12174.5	7642.0	2	200	200
280	Cleavers	12713.0	7021.0	2	200	200
281	Cleavers	10015.5	10015.5	1	200	200
282	Cleavers	10098.0	10098.0	1	200	200
283	Cleavers	10813.0	10813.0	1	200	200
284	Cleavers	4096.5	2611.5	4	200	200
285	Cleavers	8212.5	5793.5	4	200	200
286	Cleavers	12399.0	9302.5	2	200	200
287	Sugar beet	7849.5	3953.5	4	200	200
288	Sugar beet	3591.0	1859.5	2	200	200
289	Sugar beet	5135.5	5135.5	1	200	200
290	Sugar beet	7054.0	3426.5	3	200	200
291	Sugar beet	6017.0	6017.0	1	200	200
292	Sugar beet	10832.5	10202.5	2	200	200
293	Sugar beet	5180.0	5180.0	1	200	200
294	Sugar beet	4224.0	3727.5	2	200	200
295	Sugar beet	4129.5	4129.5	1	200	200
296	Sugar beet	3878.0	3878.0	1	200	200
297	Sugar beet	5891.0	5891.0	1	200	200
298	Sugar beet	6259.0	6259.0	1	200	200
299	Sugar beet	5177.0	5177.0	1	200	200
300	Sugar beet	8526.5	8526.5	1	200	200
301	Sugar beet	5422.0	3381.0	3	200	200
302	Sugar beet	9452.5	8767.5	2	200	200
303	Sugar beet	6246.5	5740.0	2	200	200
304	Sugar beet	20043.5	19419.5	3	200	200
305	Sugar beet	3744.0	2016.0	4	200	200
306	Sugar beet	5577.0	3096.0	4	200	200
307	Sugar beet	6121.0	5763.0	4	200	200
308	Sugar beet	4780.0	4780.0	1	200	200
309	Sugar beet	6292.0	3164.5	3	200	200
310	Sugar beet	5702.5	5702.5	2	200	200
311	Sugar beet	4990.5	4990.5	1	200	200
312	Sugar beet	5770.5	5770.5	1	200	200
313	Sugar beet	5222.0	5222.0	1	200	200
314	Sugar beet	3961.0	3961.0	1	200	200
315	Sugar beet	5972.5	5972.5	2	200	200
316	Sugar beet	4755.5	2723.5	3	200	200
317	Sugar beet	7066.5	5951.0	2	200	200
318	Sugar beet	3043.0	1625.0	3	200	200
319	Sugar beet	7163.5	7163.5	1	200	200
320	Sugar beet	3763.0	2099.5	3	200	200
321	Sugar beet	6298.0	3010.0	4	200	200
322	Sugar beet	5063.5	5063.5	1	200	200
323	Sugar beet	3765.5	3426.5	2	200	200
324	Sugar beet	6417.5	6417.5	2	200	200
325	Sugar beet	6792.5	3731.0	8	200	200
326	Sugar beet	10037.0	10037.0	1	200	200
327	Sugar beet	9581.0	9581.0	1	200	200
328	Sugar beet	5060.5	5060.5	1	200	200
329	Sugar beet	4064.5	4064.5	1	200	200
330	Sugar beet	7463.5	7463.5	2	200	200
331	Sugar beet	3684.5	3684.5	3	200	200
332	Sugar beet	6128.0	6128.0	1	200	200
333	Sugar beet	6020.0	2092.5	4	200	200
334	Sugar beet	7693.5	7693.5	1	200	200
335	Sugar beet	4997.0	4997.0	1	200	200
336	Sugar beet	5905.5	5125.5	2	200	200
337	Sugar beet	6123.0	3075.0	3	200	200
338	Sugar beet	4304.0	2315.0	3	200	200
339	Sugar beet	8990.0	8990.0	1	200	200
340	Sugar beet	6313.5	3171.0	2	200	200
341	Sugar beet	4872.0	4872.0	1	200	200
342	Sugar beet	7511.5	7511.5	1	200	200
343	Sugar beet	5174.0	3604.0	3	200	200
344	Sugar beet	5738.5	4663.0	3	200	200
345	Sugar beet	3793.5	3793.5	1	200	200
346	Sugar beet	5512.5	2956.5	2	200	200
347	Sugar beet	6535.0	2412.5	5	200	200
348	Sugar beet	7091.0	7091.0	1	200	200
349	Sugar beet	4427.0	3891.5	3	200	200
350	Sugar beet	4026.5	2189.0	2	200	200
351	Sugar beet	7146.0	6762.0	4	200	200
352	Sugar beet	5270.0	4753.0	3	200	200
353	Sugar beet	3437.5	3437.5	1	200	200
354	Sugar beet	5912.5	5912.5	1	200	200
355	Sugar beet	4742.0	4052.5	4	200	200
356	Sugar beet	5003.0	3687.5	2	200	200
357	Sugar beet	8308.0	8308.0	2	200	200
358	Sugar beet	4334.0	4334.0	1	200	200
359	Sugar beet	5669.0	5669.0	1	200	200
360	Sugar beet	5584.0	4442.5	2	200	200
361	Sugar beet	6440.0	3826.0	4	200	200
362	Sugar beet	14325.5	14325.5	2	200	200
363	Sugar beet	4034.5	2255.5	2	200	200
364	Sugar beet	6761.5	6761.5	1	200	200
365	Sugar beet	5231.0	5231.0	1	200	200
366	Sugar beet	4300.0	4300.0	2	200	200
367	Sugar beet	10738.5	8309.5	5	200	200
368	Sugar beet	9367.5	8313.0	2	200	200
369	Sugar beet	5054.0	5054.0	1	200	200
370	Sugar beet	6104.0	6104.0	1	200	200
371	Sugar beet	3583.0	3583.0	3	200	200
372	Sugar beet	4477.5	4477.5	1	200	200
373	Sugar beet	6178.5	4964.5	2	200	200
374	Sugar beet	3487.5	3487.5	2	200	200
375	Sugar beet	2985.5	2985.5	1	200	200
376	Sugar beet	6204.0	6204.0	1	200	200
377	Sugar beet	3456.0	1951.0	2	200	200
378	Sugar beet	4509.0	3499.0	3	200	200
379	Sugar beet	3818.5	3818.5	1	200	200
380	Sugar beet	5283.0	5283.0	2	200	200
381	Sugar beet	5595.5	2524.5	3	200	200
382	Sugar beet	3840.5	3840.5	1	200	200
383	Sugar beet	5024.5	2811.5	3	200	200
384	Sugar beet	5496.0	3599.0	2	200	200
385	Sugar beet	3414.0	1942.0	3	200	200
386	Sugar beet	4599.0	4599.0	2	200	200
387	Sugar beet	4038.0	4038.0	2	200	200
388	Sugar beet	4250.5	4250.5	1	200	200
389	Sugar beet	11468.0	11468.0	3	200	200
390	Sugar beet	6398.0	5752.5	4	200	200
391	Sugar beet	7212.5	7212.5	1	200	200
392	Sugar beet	8684.0	8684.0	1	200	200
393	Sugar beet	5675.0	5675.0	1	200	200
394	Sugar beet	3940.0	3572.5	2	200	200
395	Sugar beet	3701.5	3701.5	1	200	200
396	Sugar beet	5613.0	4304.5	2	200	200
397	Sugar beet	3855.0	3855.0	1	200	200
398	Sugar beet	8006.5	4856.5	6	200	200
399	Sugar beet	7530.0	7530.0	1	200	200
400	Sugar beet	2951.0	2951.0	2	200	200
401	Sugar beet	4337.5	4337.5	2	200	200
402	Sugar beet	5416.0	5416.0	1	200	200
403	Sugar beet	4065.5	3739.5	3	200	200
404	Sugar beet	6571.0	6571.0	1	200	200
405	Sugar beet	6471.5	6471.5	1	200	200
406	Sugar beet	5348.5	3046.0	2	200	200
407	Sugar beet	6438.0	6438.0	3	200	200
408	Sugar beet	5938.0	4631.5	3	200	200
409	Sugar beet	8577.0	7023.5	3	200	200
410	Sugar beet	6807.5	6474.0	2	200	200
411	Sugar beet	3786.5	3786.5	1	200	200
412	Sugar beet	5774.0	2064.0	4	200	200
413	Sugar beet	7027.5	7027.5	1	200	200
414	Sugar beet	7517.0	4191.5	2	200	200
415	Sugar beet	8186.5	4848.0	4	200	200
416	Sugar beet	5388.0	5388.0	1	200	200
417	Sugar beet	4432.0	4432.0	2	200	200
418	Sugar beet	6861.0	3488.0	2	200	200
419	Sugar beet	6851.5	6851.5	1	200	200
420	Sugar beet	5508.0	5508.0	1	200	200
421	Sugar beet	4314.5	4314.5	1	200	200
422	Sugar beet	4799.0	4038.0	3	200	200
423	Sugar beet	7415.5	7415.5	2	200	200
424	Sugar beet	4165.0	2275.5	3	200	200
425	Sugar beet	5207.0	5207.0	1	200	200
426	Sugar beet	4840.5	4026.5	2	200	200
427	Sugar beet	5940.5	5940.5	1	200	200
428	Sugar beet	4127.0	4127.0	3	200	200
429	Sugar beet	7400.5	7400.5	1	200	200
430	Sugar beet	5866.0	5866.0	1	200	200
431	Sugar beet	3697.0	2008.0	2	200	200
432	Sugar beet	8242.0	7238.0	2	200	200
433	Sugar beet	3481.5	1812.0	2	200	200
434	Sugar beet	4593.5	3782.5	3	200	200
435	Sugar beet	4104.0	2392.5	2	200	200
436	Sugar beet	4789.0	4789.0	1	200	200
437	Sugar beet	4671.0	3450.5	3	200	200
438	Sugar beet	5784.0	3482.0	2	200	200
439	Sugar beet	8521.0	4743.0	2	200	200
440	Sugar beet	4632.5	2468.5	2	200	200
441	Sugar beet	3806.5	3806.5	1	200	200
442	Sugar beet	4012.0	2308.5	2	200	200
443	Sugar beet	7878.0	7878.0	1	200	200
444	Sugar beet	5334.5	4121.0	3	200	200
445	Sugar beet	4129.0	4129.0	1	200	200
446	Sugar beet	5382.5	5382.5	1	200	200
447	Sugar beet	4861.5	4861.5	1	200	200
448	Sugar beet	6234.0	3399.5	3	200	200
449	Sugar beet	6493.0	6493.0	1	200	200
450	Sugar beet	4745.5	4745.5	1	200	200
451	Sugar beet	3121.0	3121.0	2	200	200
452	Sugar beet	7477.0	4013.0	2	200	200
453	Sugar beet	6242.0	6242.0	1	200	200
454	Sugar beet	9341.5	8252.0	3	200	200
455	Sugar beet	14171.5	14171.5	2	200	200
456	Sugar beet	5569.5	5569.5	1	200	200
457	Sugar beet	5007.0	5007.0	1	200	200
458	Sugar beet	11855.5	11855.5	2	200	200
459	Sugar beet	6824.5	5533.0	2	200	200
460	Sugar beet	4902.5	4902.5	1	200	200
461	Sugar beet	2954.5	2954.5	2	200	200
462	Sugar beet	8933.5	8933.5	1	200	200
463	Sugar beet	6137.0	6137.0	2	200	200
464	Sugar beet	5027.5	5027.5	1	200	200
465	Sugar beet	8754.0	8754.0	1	200	200
466	Sugar beet	3943.0	1880.0	6	200	200
467	Sugar beet	7534.5	5103.5	2	200	200
468	Sugar beet	7458.0	7458.0	1	200	200
469	Sugar beet	6900.0	6900.0	1	200	200
470	Sugar beet	7224.0	5512.5	2	200	200
471	Sugar beet	6110.0	6110.0	1	200	200
472	Sugar beet	5516.0	2620.5	3	200	200
473	Sugar beet	7966.5	4923.5	2	200	200
474	Sugar beet	6293.5	6293.5	1	200	200
475	Sugar beet	5045.0	4339.5	2	200	200
476	Sugar beet	5325.5	5325.5	1	200	200
477	Sugar beet	7463.5	7463.5	1	200	200
478	Sugar beet	7031.0	7031.0	1	200	200
479	Sugar beet	6080.5	5739.5	2	200	200
480	Sugar beet	4589.0	3578.5	3	200	200
481	Sugar beet	7340.5	7340.5	1	200	200
482	Sugar beet	4731.0	4731.0	1	200	200
483	Sugar beet	5806.5	4119.5	2	200	200
484	Sugar beet	8036.0	8036.0	1	200	200
485	Sugar beet	13128.0	13128.0	1	200	200
486	Sugar beet	5793.5	5793.5	1	200	200
487	Sugar beet	7436.5	5136.0	3	200	200
488	Sugar beet	4454.0	2464.5	2	200	200
489	Sugar beet	9453.0	8501.0	3	200	200
490	Sugar beet	5185.5	4207.5	2	200	200
491	Sugar beet	7998.0	7998.0	1	200	200
492	Sugar beet	4338.0	2495.0	2	200	200
493	Sugar beet	4398.5	4398.5	1	200	200
494	Sugar beet	5896.5	5438.5	3	200	200
495	Sugar beet	7510.0	7510.0	1	200	200
496	Sugar beet	4939.5	2823.5	2	200	200
497	Sugar beet	7883.0	6126.5	2	200	200
498	Sugar beet	4557.5	2648.0	3	200	200
499	Sugar beet	4956.0	4956.0	1	200	200
500	Sugar beet	3424.0	3424.0	1	200	200
501	Sugar beet	4433.0	4433.0	1	200	200
502	Sugar beet	5076.0	5076.0	1	200	200
503	Sugar beet	9644.0	7916.0	3	200	200
504	Sugar beet	7760.0	7760.0	1	200	200
505	Sugar beet	4687.5	2049.5	4	200	200
506	Sugar beet	10876.0	10876.0	3	200	200
507	Sugar beet	4073.0	4073.0	1	200	200
508	Sugar beet	4896.5	4896.5	1	200	200
509	Sugar beet	9041.5	6257.0	4	200	200
510	Sugar beet	9461.5	6794.0	5	200	200
511	Sugar beet	5980.0	3378.0	2	200	200
512	Sugar beet	5998.0	3331.5	2	200	200
513	Sugar beet	4089.0	4089.0	1	200	200
514	Sugar beet	12808.5	5534.0	6	200	200
515	Sugar beet	10274.5	10274.5	1	200	200
516	Sugar beet	7454.5	7454.5	3	200	200
517	Sugar beet	6254.0	3194.5	2	200	200
518	Sugar beet	5565.0	2563.5	4	200	200
519	Sugar beet	4455.0	3429.5	3	200	200
520	Sugar beet	8971.5	6332.0	2	200	200
521	Sugar beet	5356.5	4263.5	2	200	200
522	Sugar beet	5215.5	3404.5	3	200	200
523	Sugar beet	6892.0	3674.5	2	200	200
524	Sugar beet	10493.5	8459.5	5	200	200
525	Sugar beet	8562.0	8562.0	1	200	200
526	Sugar beet	7020.5	4124.5	6	200	200
527	Sugar beet	6394.0	6394.0	1	200	200
528	Sugar beet	7683.5	4163.5	4	200	200
529	Sugar beet	5275.5	4395.0	3	200	200
530	Sugar beet	3588.5	3588.5	1	200	200
531	Sugar beet	6031.5	3729.0	6	200	200
532	Sugar beet	8479.5	5187.5	4	200	200
533	Sugar beet	2622.0	2622.0	2	200	200
534	Sugar beet	5053.0	2511.5	3	200	200
535	Sugar beet	10069.5	9342.0	4	200	200
536	Sugar beet	10642.5	6650.5	2	200	200
537	Sugar beet	4342.0	4342.0	1	200	200
538	Sugar beet	4588.0	2338.5	3	200	200
539	Sugar beet	4385.0	4385.0	2	200	200
540	Sugar beet	8006.5	4856.5	6	200	200
541	Sugar beet	5842.5	3769.5	3	200	200
542	Sugar beet	8954.0	8954.0	1	200	200
543	Sugar beet	7787.5	4264.5	5	200	200
544	Sugar beet	7350.0	7350.0	1	200	200
545	Sugar beet	4799.5	4799.5	3	200	200
546	Sugar beet	3773.5	3773.5	1	200	200
547	Sugar beet	4560.5	4560.5	2	200	200
548	Sugar beet	5169.5	2898.0	2	200	200
549	Sugar beet	5815.0	5815.0	1	200	200
550	Sugar beet	5079.0	4771.0	2	200	200
551	Sugar beet	5260.5	4971.5	2	200	200
552	Sugar beet	5954.5	4337.5	3	200	200
553	Sugar beet	8722.5	6278.5	3	200	200
554	Sugar beet	7166.5	3823.5	3	200	200
555	Sugar beet	7361.5	7361.5	1	200	200
556	Sugar beet	6410.0	6410.0	1	200	200
557	Sugar beet	7233.5	7233.5	1	200	200
558	Sugar beet	6470.5	5266.5	3	200	200
559	Sugar beet	3876.5	3603.5	2	200	200
560	Sugar beet	3888.0	2012.0	2	200	200
561	Sugar beet	6795.0	4699.5	2	200	200
562	Sugar beet	0.0	100.5	4	200	200
563	Sugar beet	3634.0	3275.5	2	200	200
564	Sugar beet	4422.5	2258.5	2	200	200
565	Sugar beet	7580.5	4912.5	3	200	200
566	Sugar beet	4253.0	4253.0	1	200	200
567	Sugar beet	4335.0	4335.0	1	200	200
568	Sugar beet	5075.0	3122.0	4	200	200
